,fold_1,fold_2,fold_3,fold_4,fold_5,models,measure,targets,samplers,mean,std,se
20,9.900990099009903,11.574074074074074,9.708737864077671,4.366812227074235,4.842615012106537,balanced decision tree,f-Beta,target_Aroused,raw data,8.08,3.26,1.4579163213298627
21,50.0,50.0,50.0,50.0,50.0,gaussian process,balanced_accuracy,target_Aroused,raw data,50.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,gaussian process,precision,target_Aroused,raw data,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,gaussian process,f-Beta,target_Aroused,raw data,0.0,0.0,0.0
24,50.95241518113859,49.59349593495935,49.46380697050938,49.73890339425587,52.66702586206896,gradient boosting,balanced_accuracy,target_Aroused,raw data,50.48,1.36,0.6082104898799429
25,25.0,0.0,0.0,0.0,25.0,gradient boosting,precision,target_Aroused,raw data,10.0,13.69,6.122354122394424
26,9.433962264150944,0.0,0.0,0.0,16.393442622950822,gradient boosting,f-Beta,target_Aroused,raw data,5.17,7.49,3.3496298302946848
27,50.0,49.86449864498645,49.597855227882036,49.73890339425587,49.73958333333333,k nearest neighbor,balanced_accuracy,target_Aroused,raw data,49.79,0.15,0.06708203932499368
28,0.0,0.0,0.0,0.0,0.0,k nearest neighbor,precision,target_Aroused,raw data,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,k nearest neighbor,f-Beta,target_Aroused,raw data,0.0,0.0,0.0
30,52.30376653248994,50.05235279625524,52.23190348525469,49.869451697127936,52.66702586206896,linear discriminant analysis,balanced_accuracy,target_Aroused,raw data,51.42,1.35,0.6037383539249432
31,40.0,11.11111111111111,50.0,0.0,25.0,linear discriminant analysis,precision,target_Aroused,raw data,25.22,20.42,9.132101620109141
32,17.543859649122805,6.250000000000002,17.857142857142858,0.0,16.393442622950822,linear discriminant analysis,f-Beta,target_Aroused,raw data,11.61,8.07,3.6090137156846605
33,50.0,50.0,52.5,50.0,51.59392959770115,linear svm,balanced_accuracy,target_Aroused,raw data,50.82,1.17,0.5232399067349507
34,0.0,0.0,100.0,0.0,50.0,linear svm,precision,target_Aroused,raw data,30.0,44.72,19.999391990758117
35,0.0,0.0,20.833333333333336,0.0,13.513513513513514,linear svm,f-Beta,target_Aroused,raw data,6.87,9.76,4.3648046920795895
36,50.10422656699253,47.61640798226164,50.747319034852545,49.181897302001744,48.49586925287356,balanced linear svm,balanced_accuracy,target_Aroused,raw data,49.23,1.25,0.5590169943749475
37,9.01639344262295,9.395973154362416,10.185185185185185,7.035175879396985,6.185567010309279,balanced linear svm,precision,target_Aroused,raw data,8.36,1.68,0.7513188404399292
38,10.476190476190474,10.9375,11.652542372881355,8.47457627118644,7.194244604316546,balanced linear svm,f-Beta,target_Aroused,raw data,9.75,1.85,0.8273451516749222
39,51.35135135135135,50.0,52.365951742627345,50.0,49.73958333333333,linear svm with sgd,balanced_accuracy,target_Aroused,raw data,50.69,1.13,0.5053513629149524
40,100.0,0.0,66.66666666666666,0.0,0.0,linear svm with sgd,precision,target_Aroused,raw data,33.33,47.14,21.081648891868017
41,12.195121951219514,0.0,19.23076923076923,0.0,0.0,linear svm with sgd,f-Beta,target_Aroused,raw data,6.29,8.96,4.007033815679623
42,50.301897642323176,45.57464892830747,52.80495978552279,45.813751087902524,49.964080459770116,balanced linear svm with sgd,balanced_accuracy,target_Aroused,raw data,48.89,3.12,1.3953064179598687
